"","PC1","PC2","PC3","PC4","PC5","PC6"
"pH",0,0,0,0,0,0
"Al",0.344454496101628,0,0,0,0,0
"Sb",0,0,0,0,0,0
"As",0.19985038826043,0,0,0,0,0
"Ba",0.148123651273857,0,0,0,0,0
"Be",0.188046177643218,0,0,0,0,0
"Cd",0.0656758104828116,0.682955583244439,0,0,0,0
"Cr",0.420847149568735,-0.390592407104947,0,0,0,0
"Co",0.426301854867581,0,0,0,0,0
"Cu",0.140699871051269,0.39629752668739,0,0,0,0
"Fe",0.0990657798035915,0,0,0,0,0
"Pb",0.125075251704229,0.253526204773847,0,0,0,0
"Mn",0.513093608190883,0,0,0,0,0
"Mo",0.195732459604327,0,0,0,0,0
"Ni",0.136810488190062,0.397987268820777,0,0,0,0
"Se",0.0393729083240221,0,0,0,0,0
"Ag",0,0,0,0,0,0
"Sn",0,0,1,0,0,0
"V",0.228119921464676,-0.035890256591689,0,0,0,0
"Zn",0.042584655578084,0,0,-1,0,0
