"","analyte","community","n","AI","DW","FB","LDW","PB"
"1","Al","Dewey-Humboldt",53,0,23,NA,0,NA
"2","Al","Globe/Miami",123,0.81,52,NA,0.81,NA
"3","Al","Hayden/Winkelman",88,0,32,NA,0,NA
"4","Al","Tucson",307,0,29,NA,0,NA
"5","As","Dewey-Humboldt",53,0,3.8,0,3.8,0
"6","As","Globe/Miami",123,0,0,0,0,0
"7","As","Hayden/Winkelman",88,1.1,17,3.4,17,0
"8","As","Tucson",307,0,0.65,0,0.65,0
"9","Be","Dewey-Humboldt",53,0,0,0,NA,0
"10","Be","Globe/Miami",123,0,0,0,NA,0
"11","Be","Hayden/Winkelman",88,0,0,0,NA,0
"12","Be","Tucson",307,0,0,0,NA,0
"13","Cd","Dewey-Humboldt",53,0,0,0,0,0
"14","Cd","Globe/Miami",123,2.4,7.3,0,0,0
"15","Cd","Hayden/Winkelman",88,0,0,0,0,0
"16","Cd","Tucson",307,0,0,0,0,0
"17","Cr","Dewey-Humboldt",53,0,0,0,0,0
"18","Cr","Globe/Miami",123,0,0,0,0,0
"19","Cr","Hayden/Winkelman",88,1.1,1.1,0,0,0
"20","Cr","Tucson",307,0,0,0,0,0
"21","Cu","Dewey-Humboldt",53,0,0,0,0,0
"22","Cu","Globe/Miami",123,8.9,1.6,1.6,3.3,1.6
"23","Cu","Hayden/Winkelman",88,17,1.1,1.1,5.7,1.1
"24","Cu","Tucson",307,2.3,0,0,0.98,0
"25","Fe","Dewey-Humboldt",53,0,3.8,NA,3.8,NA
"26","Fe","Globe/Miami",123,0,3.3,NA,3.3,NA
"27","Fe","Hayden/Winkelman",88,0,4.5,NA,4.5,NA
"28","Fe","Tucson",307,0,5.2,NA,5.2,NA
"29","Mn","Dewey-Humboldt",53,1.9,7.5,0,7.5,0
"30","Mn","Globe/Miami",123,7.3,24,0,24,0
"31","Mn","Hayden/Winkelman",88,1.1,5.7,0,5.7,0
"32","Mn","Tucson",307,1.3,10,0,10,0
"33","Mo","Dewey-Humboldt",53,3.8,NA,NA,NA,NA
"34","Mo","Globe/Miami",123,0,NA,NA,NA,NA
"35","Mo","Hayden/Winkelman",88,4.5,NA,NA,NA,NA
"36","Mo","Tucson",307,3.6,NA,NA,NA,NA
"37","Ni","Dewey-Humboldt",53,0,0,0,NA,0
"38","Ni","Globe/Miami",123,1.6,1.6,0,NA,0
"39","Ni","Hayden/Winkelman",88,0,0,0,NA,0
"40","Ni","Tucson",307,0,0,0,NA,0
"41","Pb","Dewey-Humboldt",53,0,0,0,0,0
"42","Pb","Globe/Miami",123,0,1.6,1.6,0,1.6
"43","Pb","Hayden/Winkelman",88,0,5.7,5.7,0,5.7
"44","Pb","Tucson",307,0,3.6,3.6,0.65,3.6
"45","Se","Dewey-Humboldt",53,0,0,0,0,0
"46","Se","Globe/Miami",123,0,0,0,0,0
"47","Se","Hayden/Winkelman",88,0,0,0,0,0
"48","Se","Tucson",307,0,0,0,0,0
"49","V","Dewey-Humboldt",53,0,NA,NA,0,NA
"50","V","Globe/Miami",123,0,NA,NA,0,NA
"51","V","Hayden/Winkelman",88,0,NA,NA,0,NA
"52","V","Tucson",307,0,NA,NA,0,NA
"53","Zn","Dewey-Humboldt",53,1.9,0,0,0,0
"54","Zn","Globe/Miami",123,4.1,0,0,0,0
"55","Zn","Hayden/Winkelman",88,1.1,1.1,0,0,0
"56","Zn","Tucson",307,5.9,3.3,0,0,0
"57","Ba","Dewey-Humboldt",53,NA,0,0,0,0
"58","Ba","Globe/Miami",123,NA,0,0,0,0
"59","Ba","Hayden/Winkelman",88,NA,0,0,0,0
"60","Ba","Tucson",307,NA,0,0,0,0
"61","Sb","Dewey-Humboldt",53,NA,0,0,NA,0
"62","Sb","Globe/Miami",123,NA,0,0,NA,0
"63","Sb","Hayden/Winkelman",88,NA,3.4,0,NA,0
"64","Sb","Tucson",307,NA,1.6,0,NA,0
"65","Ag","Dewey-Humboldt",53,NA,NA,0,NA,0
"66","Ag","Globe/Miami",123,NA,NA,0,NA,0
"67","Ag","Hayden/Winkelman",88,NA,NA,0,NA,0
"68","Ag","Tucson",307,NA,NA,0,NA,0
"69","Co","Dewey-Humboldt",53,NA,NA,NA,0,NA
"70","Co","Globe/Miami",123,NA,NA,NA,0,NA
"71","Co","Hayden/Winkelman",88,NA,NA,NA,0,NA
"72","Co","Tucson",307,NA,NA,NA,0,NA
