"","analyte","Primary Language","n","min","max","median","mean","sd","gmean","gsd"
"1","Ag","English",310,0.0015,0.725,0.017,0.0333,0.0702,0.0162,2.99
"2","Ag","Spanish",100,0.0012,1.11,0.0156,0.0403,0.143,0.0155,2.72
"3","Al","English",310,3.82,1850,36.4,72.4,156,42.3,2.38
"4","Al","Spanish",100,1.54,943,29.2,56.8,107,34.6,2.35
"5","As","English",310,0.108,40.3,1.02,2.05,3.65,1.12,2.71
"6","As","Spanish",100,0.18,13.7,0.93,1.53,2.31,0.924,2.44
"7","Ba","English",310,0.161,185,10.5,16.5,20.9,9.83,2.93
"8","Ba","Spanish",100,0.119,86.1,11.6,16.4,16.1,10.4,3.16
"9","Be","English",310,0.00063,1.4,0.0246,0.0414,0.103,0.0201,3.22
"10","Be","Spanish",100,0.00394,0.511,0.0181,0.0309,0.053,0.02,2.38
"11","Cd","English",310,0.00528,11.7,0.0829,0.356,1.2,0.0977,3.92
"12","Cd","Spanish",100,0.007,0.378,0.0477,0.0652,0.052,0.0516,1.99
"13","Co","English",310,0.0045,7.9,0.115,0.318,0.779,0.126,3.46
"14","Co","Spanish",100,0.0045,2.42,0.0885,0.236,0.435,0.111,2.97
"15","Cr","English",310,0.011,86,0.31,1.21,6.14,0.341,3.17
"16","Cr","Spanish",100,0.011,28.7,0.359,1.11,3.25,0.421,3.29
"17","Cu","English",310,0.238,3160,20.1,76.9,270,21.5,4.34
"18","Cu","Spanish",100,0.237,244,18.2,27.3,32.5,17.6,2.74
"19","Fe","English",310,2.5,1640,36,75.6,160,38.3,2.84
"20","Fe","Spanish",100,3.13,889,41.7,75.7,124,44.5,2.55
"21","Mn","English",310,0.0668,612,5.17,25.3,63,6.21,5.36
"22","Mn","Spanish",100,0.154,378,3.45,20,50.2,4.28,5.3
"23","Mo","English",310,0.016,11.7,0.871,1.45,1.7,0.793,3.24
"24","Mo","Spanish",100,0.0078,25.6,3.08,4.1,4.06,2.9,2.67
"25","Ni","English",310,0.0571,466,0.622,3.95,29.6,0.772,3.17
"26","Ni","Spanish",100,0.0681,13.3,0.861,1.51,2.15,0.949,2.39
"27","Pb","English",310,0.0142,350,0.552,3.05,20.6,0.607,4.22
"28","Pb","Spanish",100,0.0382,19.9,0.528,1.61,3.1,0.633,3.71
"29","Sb","English",310,0.106,9.15,0.535,0.741,0.845,0.545,2.06
"30","Sb","Spanish",100,0.11,8.16,0.631,0.852,1.05,0.639,1.95
"31","Se","English",310,0.16,11.7,1.47,1.86,1.61,1.29,2.47
"32","Se","Spanish",100,0.16,11.6,1.6,1.99,1.84,1.33,2.62
"33","Sn","English",310,0.00196,80.7,0.0778,0.555,4.72,0.0871,3.83
"34","Sn","Spanish",100,0.011,3.21,0.122,0.239,0.4,0.121,3.1
"35","V","English",310,0.145,17.5,1.4,2.19,2.22,1.5,2.36
"36","V","Spanish",100,0.23,29,2.38,3.68,4.82,2.34,2.5
"37","Zn","English",310,1.4,12700,84.6,390,1160,94.3,4.68
"38","Zn","Spanish",100,2.4,1220,64.9,127,198,67.3,3.04
"39","pli","English",310,0.148,24.6,1.66,2.58,2.89,1.78,2.3
"40","pli","Spanish",100,0.118,13.1,1.48,1.99,1.72,1.56,2.01
